customer_id,customer_name,gender,age_group,city_id,pincode,customer_segment,loyalty_tier,loyalty_points,join_date,email_id,phone_number,is_active
C-101,Rushil Saini,Female,45-55,7,794026,Regular,Gold,5633,2022-07-07,tanveernayar@example.org,6155940781,True
C-102,Janaki Handa,Male,45-55,1,034131,Regular,Gold,7847,2022-10-01,kpatla@example.com,3419283276,True
C-103,Daksh Karnik,Female,18-25,9,564139,Regular,Bronze,994,2025-09-07,simon76@example.net,2423884969,True
C-104,Yashodhara Tak,Male,45-55,8,012269,Regular,Bronze,7302,2020-11-16,hsidhu@example.com,1845146270,True
C-105,Chanchal Tripathi,Female,45-55,8,252880,Regular,Bronze,3888,2024-01-17,hbahl@example.com,3039117182,True
C-106,Alka Wable,Female,25-35,8,383465,Regular,Bronze,4270,2023-02-03,pdara@example.org,5098393010,True
C-107,Ekavir Varkey,Male,35-45,8,473829,New,Platinum,2340,2023-11-29,urvashiray@example.org,1656670106,True
C-108,Ranveer Yadav,Female,35-45,4,262473,Regular,Bronze,660,2025-09-03,savantguneet@example.org,1326773602,True
C-109,Suhani Mangal,Male,25-35,3,872343,New,Silver,5786,2026-03-26,murthydakshesh@example.org,8820812191,True
C-110,Balveer Bumb,Male,45-55,4,998543,New,Gold,3816,2024-06-18,william46@example.org,7510799118,True
C-111,Ikshita Biswas,Male,25-35,7,542784,New,Silver,6306,2024-02-13,mistryhemang@example.org,1182449353,True
C-112,Charan Chanda,Male,45-55,10,400524,New,Platinum,2881,2021-06-16,jsane@example.org,1280598262,True
C-113,Ishita Kade,Female,45-55,5,158692,Regular,Silver,2235,2025-12-23,nicholasgoel@example.com,2563421607,True
C-114,Dalaja Kari,Female,18-25,7,036541,New,Gold,5563,2026-03-22,indali86@example.net,0142940196,True
C-115,Lekha Gupta,Male,45-55,7,060883,Regular,Bronze,4375,2022-08-28,narayanandipta@example.net,4846564823,True
C-116,Nidra Acharya,Female,18-25,1,436995,Premium,Silver,1111,2023-04-02,gkala@example.com,1489513433,True
C-117,Vaishnavi Bora,Male,18-25,8,693676,Regular,Silver,1733,2021-12-11,chhabrapavani@example.org,8708317278,True
C-118,Yamini Sandhu,Female,35-45,8,277434,New,Gold,7792,2025-01-11,rkhare@example.com,4345581223,True
C-119,Oeshi Reddy,Female,18-25,7,876036,New,Platinum,4418,2022-10-21,raivansha@example.org,4668893734,True
C-120,Gayathri Ravel,Female,25-35,1,729806,Premium,Bronze,5339,2024-01-02,chackopriya@example.org,2046537556,True
