transaction_id,confirmation_number,customer_id,cashier_id,product_id,category_id,brand_id,store_id,store_city_id,payment_method_id,transaction_status_id,return_reason_id,customer_name,customer_email,customer_phone,cashier_name,product_name,product_sku,product_color,product_size,store_address,store_latitude,store_longitude,quantity,unit_price,discount_pct,discount_amount,gst_rate_pct,gst_amount,subtotal,total_amount,loyalty_points_earned,transaction_date,transaction_timestamp,updated_at,customer_rating
TXN-002710,RF-2410-e50ff7,C-165,EMP-1018,P-244,3,14,STORE-09,8,2,1,6,Girik Thakkar,balakrishnanfinn@example.org,3969078447,Nachiket Sharma,Fossil Analog Watch,SKU-P-244-279,Maroon,,"94/54, Master Chowk, Chandrapur-222820",22.197167,89.583377,1,2199.0,5,109.95,18.0,376.03,2089.05,2465.08,24,2019-01-01,2019-01-01T17:05:11,2019-01-01 17:05:11,
TXN-002033,RF-5191-ab46af,C-166,EMP-1010,P-201,1,1,STORE-08,7,3,1,6,Elijah Bhasin,eiravati56@example.org,8815371473,Udyati Dalal,Nike Running Shoes,SKU-P-201-640,Navy,11,"H.No. 17, Kurian Ganj, Karnal-463536",12.804461,91.436317,1,1799.0,0,0.0,18.0,323.82,1799.0,2122.82,21,2019-01-02,2019-01-02T13:11:49,2019-01-02 13:11:49,
TXN-001565,RF-8285-d4f9d0,C-235,EMP-1003,P-226,2,9,STORE-05,4,5,1,6,Devika Dayal,bina78@example.net,6257532603,Jairaj Maharaj,Allen Solly Formal Shirt,SKU-P-226-195,Maroon,11,"H.No. 12, Lala, Nashik 331122",9.792746,73.634098,1,799.0,10,79.9,12.0,86.29,719.1,805.39,8,2019-01-03,2019-01-03T09:42:56,2019-01-03 09:42:56,3.0
TXN-002355,RF-1425-ef98bc,C-275,EMP-1004,P-251,3,17,STORE-02,1,1,2,4,Krishna Zacharia,idika78@example.org,7456424008,Shaurya Kadakia,Wildcraft Digital Watch,SKU-P-251-132,Maroon,,"81/61, Rattan Nagar, Hosur 578904",31.961199,73.817613,1,2799.0,10,279.9,18.0,453.44,2519.1,2972.54,29,2019-01-03,2019-01-03T11:37:33,2019-01-03 11:37:33,
TXN-000448,RF-7120-acec56,C-134,EMP-1019,P-260,5,20,STORE-10,9,3,1,6,Tanmayi Aurora,vbuch@example.net,5780913431,Turvi Sachdev,Prestige Photo Frame,SKU-P-260-155,Blue,,"403, Gupta Circle, Deoghar 700077",26.990379,96.723132,1,999.0,0,0.0,12.0,119.88,999.0,1118.88,11,2019-01-04,2019-01-04T09:00:40,2019-01-04 09:00:40,3.7
TXN-001311,RF-3531-8d19d3,C-109,EMP-1019,P-261,5,20,STORE-10,9,2,1,6,Suhani Mangal,murthydakshesh@example.org,8820812191,Turvi Sachdev,Prestige Table Lamp,SKU-P-261-953,Grey,,"82/834, Mitra Nagar, Bahraich 005638",27.241075,68.001166,1,999.0,15,149.85,12.0,101.9,849.15,951.05,9,2019-01-04,2019-01-04T11:10:53,2019-01-04 11:10:53,3.2
TXN-001167,RF-2666-3c6ae3,C-269,EMP-1022,P-262,5,20,STORE-04,3,1,1,6,Mitali Kapadia,dghosh@example.org,5003691559,Dominic Dixit,Prestige Non-stick Pan,SKU-P-262-882,Navy,,"H.No. 70, Vig Path, Vijayawada 405044",17.824037,77.184867,1,2499.0,0,0.0,12.0,299.88,2499.0,2798.88,27,2019-01-04,2019-01-04T11:18:36,2019-01-04 11:18:36,
TXN-002853,RF-2500-88daca,C-109,EMP-1021,P-262,5,20,STORE-03,2,1,3,6,Suhani Mangal,murthydakshesh@example.org,8820812191,Sathvik Narula,Prestige Non-stick Pan,SKU-P-262-476,Maroon,,"75, Sangha Ganj, Nangloi Jat 746380",29.588471,87.402814,1,2499.0,5,124.95,12.0,284.89,2374.05,2658.94,26,2019-01-05,2019-01-05T16:36:06,2019-01-05 16:36:06,
TXN-002614,RF-1043-56b874,C-107,EMP-1023,P-223,2,8,STORE-06,5,3,1,6,Ekavir Varkey,urvashiray@example.org,1656670106,Harinakshi Prashad,Arrow Sports T-Shirt,SKU-P-223-916,White,6,"106, Shan, Phagwara 753159",11.927456,89.624076,1,999.0,5,49.95,12.0,113.89,949.05,1062.94,10,2019-01-06,2019-01-06T15:51:57,2019-01-06 15:51:57,4.4
TXN-002147,RF-3382-ac43d7,C-178,EMP-1017,P-240,3,13,STORE-11,10,1,1,6,Zinal Sathe,gdeo@example.com,9087406403,Urvi Banik,Ray-Ban Sunglasses,SKU-P-240-212,Green,,"H.No. 404, Bora Road, Anantapuram-228483",22.042051,85.013027,1,6999.0,0,0.0,18.0,1259.82,6999.0,8258.82,82,2019-01-07,2019-01-07T09:16:10,2019-01-07 09:16:10,4.9
